============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
157481        NON_STRIKER   Suryakumar Yadav          RUN_START
158800        NON_STRIKER   Suryakumar Yadav          RUN_END
158990        STRIKER       Axar Patel                RUN_END
159202        BOWLER        Shaheen Afridi            BOWL_START
159209        BOWLER        Shaheen Afridi            BOWL_END
159213        STRIKER       Suryakumar Yadav          BAT_START
159220        STRIKER       Suryakumar Yadav          BAT_END
159221        NON_STRIKER   Axar Patel                RUN_START
159223        FIELDER       Iftikhar Ahmed            CATCH
159221        STRIKER       Suryakumar Yadav          RUN_START
160343        STRIKER       Suryakumar Yadav          RUN_END
161152        NON_STRIKER   Axar Patel                RUN_END
